"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","4629","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","4","4","1","1.881928","0","5"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","6","2","1","4.023592","0","19"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","5","1","1","4.189127","0","16"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","5","1","1","4.247272","0","16"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","153","22","1","169.705856","0","6342"
"/Interchange/Materials/UnlitMaterial.UnlitMaterial","0","4","4","1","3.159617","0","7"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","5","5","1","4.254564","0","5"
"/Engine/VREditor/TransformGizmo/Main.Main","0","5","5","1","4.328650","0","5"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","14","1","1","15.989172","0","118"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","28","1","1","31.666262","0","371"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","5","5","1","4.208168","0","8"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","17","4","1","19.002913","0","76"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","12","4","1","9.475689","0","40"
"/OculusVR/Materials/PokeAHoleMaterial.PokeAHoleMaterial","0","5","5","1","4.202359","0","6"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","9","3","1","6.500167","0","22"
"/Game/Materials/M_Invisible.M_Invisible","0","28","7","1","24.082378","0","104"
"/OculusVR/Materials/OculusMR_OpaqueColoredMaterial.OculusMR_OpaqueColoredMaterial","0","4","4","1","2.998595","0","4"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","4","4","1","3.146386","0","7"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","7","7","1","5.643516","0","10"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","6","6","1","4.355610","0","6"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","69","9","1","80.678162","0","2178"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","0","4","1","1","3.425661","0","13"
"/Game/Materials/M_PaintGround.M_PaintGround","0","36","1","1","29.534052","0","659"
"/Game/Materials/M_PrimitiveColor.M_PrimitiveColor","0","14","1","1","17.602118","0","118"
"/Game/Materials/M_UVTest.M_UVTest","0","28","3","1","27.339130","0","432"
"/Game/Materials/M_Brush.M_Brush","0","20","2","1","22.211847","0","201"
"/Game/Materials/M_Canvas.M_Canvas","0","14","1","1","15.932775","0","112"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","37","1","1","42.575615","0","659"
"/Niagara/DefaultAssets/DefaultSpriteMaterial.DefaultSpriteMaterial","0","40","3","1","38.392689","0","825"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","37","2","1","45.351818","0","634"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","37","12","1","46.366390","0","482"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","28","26","1","32.029381","0","83"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","7","7","1","6.156270","0","7"
"/OculusVR/Materials/TouchForQuestRiftSControllerMaterial.TouchForQuestRiftSControllerMaterial","0","14","14","1","16.357782","0","14"
"/OculusVR/Materials/touchController_mat.touchController_mat","0","28","28","1","32.265579","0","28"
"/ControlRig/M_Manip.M_Manip","0","9","9","1","6.406684","0","9"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","9","9","1","7.516531","0","9"
